Game,Round,Deadwood
558,1,52
558,2,34
558,3,29
558,4,17
558,5,17
558,6,14
558,7,14
558,8,14
558,9,14
559,1,28
559,2,22
559,3,22
559,4,5
560,1,19
560,2,13
560,3,13
560,4,13
560,5,12
560,6,12
561,1,34
561,2,33
561,3,33
561,4,29
561,5,29
561,6,10
562,1,45
562,2,39
562,3,39
562,4,35
562,5,27
562,6,10
563,1,63
563,2,33
563,3,23
563,4,21
563,5,21
563,6,21
563,7,16
563,8,16
563,9,16
564,1,26
564,2,19
564,3,19
564,4,16
564,5,16
565,1,40
565,2,40
565,3,33
565,4,33
565,5,33
565,6,28
565,7,22
565,8,21
565,9,21
565,10,21
566,1,37
566,2,32
566,3,13
566,4,13
566,5,13
566,6,13
567,1,69
567,2,60
567,3,53
567,4,53
567,5,27
567,6,19
567,7,19
568,1,47
568,2,45
568,3,23
568,4,14
568,5,14
568,6,1
569,1,56
569,2,54
569,3,51
569,4,25
569,5,25
569,6,25
569,7,25
569,8,25
569,9,19
569,10,13
569,11,13
569,12,13
569,13,13
570,1,61
570,2,31
570,3,16
570,4,5
571,1,28
571,2,28
571,3,26
571,4,26
571,5,26
571,6,17
571,7,17
571,8,17
571,9,17
572,1,18
572,2,12
572,3,12
572,4,11
572,5,6
573,1,47
573,2,37
573,3,11
573,4,11
573,5,10
574,1,30
574,2,28
574,3,9
575,1,30
575,2,30
575,3,26
575,4,26
575,5,26
575,6,26
576,1,6
577,1,49
577,2,49
577,3,44
577,4,38
577,5,32
577,6,32
577,7,32
577,8,14
577,9,14
578,1,32
578,2,29
578,3,23
578,4,17
578,5,12
578,6,12
578,7,8
579,1,19
579,2,13
579,3,13
579,4,13
579,5,13
579,6,13
580,1,36
580,2,30
580,3,13
580,4,10
581,1,70
581,2,70
581,3,30
581,4,30
581,5,8
582,1,37
582,2,12
582,3,4
583,1,53
583,2,43
583,3,43
583,4,34
583,5,27
583,6,26
583,7,8
584,1,51
584,2,49
584,3,27
584,4,14
584,5,14
584,6,9
585,1,28
585,2,28
585,3,26
585,4,21
585,5,21
586,1,38
586,2,38
586,3,16
586,4,14
586,5,8
587,1,29
587,2,28
587,3,16
587,4,1
588,1,22
588,2,22
588,3,20
588,4,14
588,5,14
588,6,14
588,7,14
589,1,41
589,2,41
589,3,40
589,4,40
589,5,40
589,6,32
589,7,24
589,8,12
589,9,12
590,1,49
590,2,39
590,3,39
590,4,39
590,5,39
590,6,39
590,7,12
590,8,12
590,9,12
591,1,59
591,2,57
591,3,54
591,4,29
591,5,29
592,1,46
592,2,20
592,3,18
592,4,13
592,5,9
593,1,17
593,2,10
594,1,42
594,2,42
594,3,33
594,4,32
594,5,24
594,6,24
594,7,7
595,1,53
595,2,23
595,3,21
595,4,21
595,5,13
595,6,10
596,1,71
596,2,41
596,3,40
596,4,38
596,5,31
596,6,31
596,7,31
597,1,54
597,2,28
597,3,28
597,4,28
597,5,28
597,6,18
597,7,18
597,8,18
597,9,11
597,10,11
597,11,11
598,1,61
598,2,53
598,3,50
598,4,50
598,5,24
598,6,14
598,7,14
598,8,4
599,1,39
599,2,39
599,3,39
599,4,36
599,5,36
599,6,34
599,7,19
599,8,19
599,9,12
599,10,1
600,1,43
600,2,36
600,3,28
600,4,19
600,5,19
601,1,57
601,2,51
601,3,43
601,4,43
601,5,25
601,6,25
601,7,25
601,8,14
601,9,14
601,10,14
601,11,14
601,12,10
602,1,15
602,2,14
602,3,14
602,4,14
603,1,25
603,2,25
603,3,22
603,4,6
604,1,36
604,2,31
604,3,26
604,4,26
604,5,26
604,6,16
604,7,16
605,1,43
605,2,43
605,3,43
605,4,35
605,5,26
605,6,22
605,7,17
605,8,17
606,1,49
606,2,44
606,3,35
606,4,35
606,5,24
606,6,24
606,7,19
606,8,19
606,9,5
607,1,65
607,2,35
607,3,35
607,4,35
608,1,70
608,2,62
608,3,60
608,4,60
608,5,32
608,6,24
608,7,5
609,1,33
609,2,33
609,3,32
609,4,29
609,5,29
609,6,29
609,7,21
609,8,16
609,9,15
609,10,15
610,1,63
610,2,38
610,3,30
610,4,23
610,5,22
610,6,22
610,7,16
610,8,16
610,9,5
611,1,60
611,2,53
611,3,53
611,4,53
611,5,53
612,1,1
613,1,74
613,2,66
613,3,63
613,4,38
613,5,16
613,6,16
614,1,68
614,2,38
614,3,34
614,4,27
614,5,23
614,6,18
614,7,18
614,8,18
614,9,18
614,10,9
615,1,56
615,2,48
615,3,43
615,4,43
615,5,23
615,6,23
615,7,23
615,8,22
615,9,22
616,1,52
616,2,52
616,3,43
616,4,39
616,5,17
616,6,13
616,7,13
617,1,29
617,2,26
617,3,19
617,4,6
618,1,65
618,2,60
618,3,51
618,4,48
618,5,43
618,6,43
618,7,40
618,8,27
618,9,27
618,10,27
618,11,9
619,1,40
619,2,38
619,3,30
619,4,23
619,5,23
620,1,45
620,2,37
620,3,37
620,4,37
620,5,14
620,6,14
620,7,14
620,8,8
621,1,34
621,2,33
621,3,33
621,4,24
621,5,24
621,6,24
622,1,44
622,2,44
622,3,44
623,1,29
623,2,22
623,3,22
623,4,17
623,5,17
623,6,17
623,7,17
623,8,17
623,9,17
623,10,12
623,11,12
623,12,12
624,1,14
624,2,10
625,1,46
625,2,44
625,3,21
625,4,17
625,5,14
625,6,14
625,7,14
625,8,14
626,1,51
626,2,45
626,3,43
626,4,38
626,5,22
626,6,9
627,1,67
627,2,61
627,3,57
627,4,32
627,5,32
627,6,27
627,7,11
627,8,11
628,1,64
628,2,34
628,3,33
628,4,13
628,5,13
628,6,10
629,1,19
629,2,11
629,3,0
630,1,30
630,2,23
630,3,23
630,4,23
630,5,17
630,6,17
630,7,17
630,8,2
631,1,13
631,2,11
631,3,11
631,4,11
632,1,25
632,2,20
632,3,11
632,4,6
633,1,44
633,2,44
633,3,44
633,4,44
633,5,44
633,6,44
633,7,19
633,8,16
633,9,16
634,1,34
634,2,31
634,3,16
634,4,16
634,5,13
634,6,13
634,7,13
634,8,9
635,1,53
635,2,53
635,3,53
635,4,53
635,5,25
635,6,25
635,7,25
636,1,76
636,2,47
636,3,44
636,4,21
636,5,21
636,6,21
637,1,8
638,1,38
638,2,38
638,3,36
638,4,36
638,5,31
638,6,29
638,7,18
638,8,1
639,1,48
639,2,48
639,3,48
639,4,19
639,5,19
639,6,15
639,7,15
639,8,11
639,9,7
640,1,31
640,2,30
640,3,30
640,4,30
640,5,30
640,6,28
640,7,28
640,8,25
640,9,25
640,10,25
641,1,60
641,2,56
641,3,40
641,4,40
641,5,40
641,6,40
641,7,40
641,8,12
641,9,12
642,1,62
642,2,54
642,3,36
642,4,32
642,5,32
642,6,32
642,7,13
642,8,2
643,1,34
643,2,4
644,1,64
644,2,34
644,3,34
644,4,24
644,5,24
645,1,55
645,2,55
645,3,39
645,4,27
645,5,26
645,6,19
645,7,16
645,8,2
646,1,52
646,2,50
646,3,47
646,4,42
646,5,19
646,6,19
647,1,57
647,2,27
647,3,27
647,4,22
647,5,20
647,6,20
647,7,10
648,1,39
648,2,39
648,3,17
648,4,17
648,5,16
648,6,10
649,1,54
649,2,52
649,3,49
649,4,42
649,5,41
649,6,41
650,1,66
650,2,60
650,3,52
650,4,52
650,5,52
651,1,40
651,2,13
651,3,13
651,4,12
651,5,8
652,1,28
652,2,22
652,3,22
652,4,22
652,5,9
653,1,65
653,2,65
653,3,62
653,4,54
653,5,31
653,6,31
653,7,22
653,8,14
653,9,14
653,10,14
654,1,62
654,2,54
654,3,39
654,4,39
654,5,33
654,6,33
654,7,11
654,8,4
655,1,86
655,2,80
655,3,52
655,4,50
655,5,50
656,1,52
656,2,52
656,3,45
656,4,37
656,5,21
656,6,21
656,7,9
657,1,49
657,2,48
657,3,48
657,4,48
657,5,22
657,6,22
657,7,22
658,1,41
658,2,40
658,3,40
658,4,38
658,5,15
658,6,15
659,1,66
659,2,39
659,3,39
659,4,23
659,5,2
660,1,34
660,2,33
660,3,26
660,4,26
660,5,24
660,6,23
660,7,23
660,8,16
660,9,16
660,10,16
660,11,16
660,12,16
660,13,16
660,14,11
660,15,2
661,1,54
661,2,53
661,3,44
661,4,36
661,5,33
661,6,33
661,7,32
661,8,31
661,9,29
661,10,29
661,11,29
662,1,46
662,2,46
662,3,46
662,4,21
662,5,1
663,1,45
663,2,39
663,3,39
663,4,27
663,5,27
663,6,27
663,7,23
663,8,14
663,9,14
664,1,37
664,2,37
665,1,40
665,2,40
665,3,40
665,4,33
665,5,31
665,6,28
665,7,28
665,8,28
665,9,28
665,10,9
666,1,77
667,1,33
667,2,29
667,3,20
667,4,20
668,1,51
668,2,25
668,3,25
669,1,56
669,2,38
669,3,35
669,4,35
669,5,30
669,6,11
669,7,11
670,1,47
670,2,17
670,3,17
670,4,17
670,5,17
670,6,14
670,7,12
670,8,12
671,1,42
671,2,38
671,3,38
672,1,57
672,2,45
672,3,38
672,4,33
672,5,33
672,6,33
672,7,16
672,8,16
672,9,16
672,10,14
672,11,14
673,1,39
673,2,9
674,1,32
674,2,32
674,3,31
674,4,31
674,5,3
675,1,47
675,2,18
675,3,18
675,4,12
675,5,12
675,6,5
676,1,57
676,2,51
676,3,47
676,4,47
676,5,26
676,6,25
676,7,25
676,8,25
676,9,25
676,10,25
676,11,11
676,12,11
676,13,9
677,1,29
677,2,9
678,1,23
678,2,23
678,3,20
678,4,20
678,5,20
678,6,20
678,7,20
678,8,17
678,9,14
678,10,14
678,11,4
679,1,42
679,2,38
679,3,38
679,4,33
679,5,27
679,6,25
679,7,25
679,8,8
680,1,34
680,2,34
680,3,19
680,4,17
680,5,17
680,6,17
680,7,17
680,8,16
680,9,16
680,10,16
680,11,16
681,1,35
681,2,35
681,3,35
681,4,29
681,5,27
681,6,27
681,7,27
681,8,27
681,9,21
681,10,20
681,11,20
682,1,2
683,1,44
683,2,22
683,3,22
683,4,22
683,5,13
683,6,9
684,1,50
684,2,45
684,3,35
684,4,35
684,5,25
684,6,25
684,7,23
684,8,10
685,1,37
685,2,32
685,3,31
685,4,23
685,5,23
685,6,23
685,7,23
685,8,23
685,9,21
685,10,19
685,11,10
686,1,24
686,2,24
686,3,19
686,4,19
686,5,19
686,6,19
686,7,19
686,8,16
686,9,16
686,10,16
686,11,16
686,12,16
686,13,16
687,1,56
687,2,53
687,3,47
687,4,40
687,5,36
687,6,34
687,7,34
687,8,33
687,9,20
687,10,20
688,1,37
688,2,37
688,3,13
688,4,13
688,5,9
689,1,60
689,2,55
689,3,35
689,4,27
689,5,25
689,6,22
689,7,18
689,8,18
689,9,16
689,10,16
689,11,16
689,12,16
689,13,12
689,14,12
689,15,4
690,1,43
690,2,34
690,3,28
690,4,23
690,5,8
691,1,52
691,2,52
691,3,51
691,4,51
691,5,50
691,6,50
691,7,50
691,8,38
691,9,21
691,10,20
691,11,20
692,1,72
692,2,72
692,3,42
692,4,42
692,5,42
692,6,41
692,7,33
692,8,24
692,9,18
692,10,15
692,11,15
692,12,15
692,13,13
692,14,13
693,1,31
693,2,24
693,3,24
693,4,19
693,5,19
693,6,16
693,7,16
694,1,25
694,2,20
694,3,17
694,4,6
695,1,42
695,2,42
695,3,33
695,4,33
695,5,33
695,6,31
695,7,7
696,1,61
696,2,54
696,3,26
696,4,20
696,5,20
696,6,20
697,1,39
697,2,39
697,3,39
697,4,30
697,5,23
697,6,23
698,1,25
698,2,25
698,3,17
698,4,9
699,1,67
699,2,64
699,3,42
699,4,42
700,1,46
700,2,17
700,3,7
701,1,44
701,2,38
701,3,29
701,4,25
701,5,25
702,1,47
702,2,21
702,3,17
702,4,16
702,5,17
702,6,17
703,1,36
703,2,32
703,3,32
703,4,22
703,5,0
704,1,45
704,2,45
704,3,42
704,4,42
704,5,35
704,6,35
705,1,32
705,2,23
705,3,23
705,4,23
705,5,20
705,6,20
705,7,20
705,8,19
705,9,17
705,10,17
705,11,17
705,12,17
705,13,8
706,1,36
706,2,36
706,3,32
706,4,11
706,5,15
706,6,13
706,7,13
706,8,13
706,9,8
707,1,60
707,2,60
707,3,40
707,4,40
707,5,40
707,6,12
707,7,7
708,1,31
708,2,31
708,3,22
708,4,22
708,5,22
708,6,22
709,1,32
709,2,27
709,3,27
709,4,13
709,5,13
710,1,56
710,2,55
710,3,29
710,4,29
710,5,29
710,6,29
710,7,29
711,1,37
711,2,37
711,3,16
711,4,16
711,5,13
711,6,13
712,1,39
712,2,37
712,3,37
712,4,32
712,5,26
712,6,25
712,7,6
713,1,47
713,2,19
713,3,12
713,4,12
713,5,12
713,6,9
714,1,71
714,2,71
714,3,66
714,4,64
714,5,63
714,6,37
714,7,34
714,8,34
714,9,34
714,10,28
714,11,11
714,12,11
715,1,57
715,2,57
715,3,57
715,4,56
715,5,29
715,6,10
716,1,43
716,2,27
716,3,22
716,4,22
716,5,14
716,6,14
717,1,44
717,2,44
717,3,42
717,4,42
717,5,35
717,6,35
717,7,26
717,8,26
717,9,26
717,10,26
717,11,25
717,12,25
717,13,7
718,1,34
718,2,26
718,3,26
718,4,26
718,5,13
718,6,12
718,7,12
718,8,9
719,1,55
719,2,50
719,3,50
719,4,50
719,5,34
719,6,34
719,7,33
719,8,33
719,9,31
719,10,25
719,11,25
720,1,14
720,2,13
720,3,13
720,4,11
720,5,11
720,6,11
720,7,11
720,8,9
721,1,46
721,2,37
721,3,33
721,4,28
721,5,26
721,6,26
721,7,26
721,8,26
721,9,20
721,10,20
722,1,22
722,2,22
722,3,22
722,4,22
722,5,22
723,1,74
723,2,72
723,3,44
723,4,44
723,5,44
723,6,37
723,7,30
723,8,30
724,1,38
724,2,28
724,3,8
725,1,52
725,2,22
725,3,20
725,4,13
725,5,13
725,6,10
726,1,53
726,2,53
726,3,23
726,4,21
726,5,18
726,6,16
726,7,16
726,8,16
727,1,48
727,2,48
727,3,40
727,4,32
727,5,18
727,6,18
728,1,40
728,2,34
728,3,34
728,4,26
728,5,14
728,6,14
728,7,8
729,1,66
729,2,37
729,3,37
730,1,32
730,2,32
730,3,32
730,4,32
731,1,48
731,2,38
731,3,29
731,4,23
731,5,23
732,1,53
732,2,53
732,3,49
732,4,47
732,5,26
732,6,26
733,1,51
733,2,51
733,3,51
733,4,46
733,5,45
733,6,40
733,7,39
733,8,14
733,9,14
733,10,14
734,1,42
734,2,42
734,3,37
734,4,37
734,5,28
734,6,22
734,7,17
734,8,17
734,9,16
734,10,12
734,11,12
734,12,12
734,13,12
735,1,40
735,2,40
735,3,21
735,4,16
735,5,13
735,6,13
735,7,13
735,8,13
736,1,19
736,2,18
736,3,12
736,4,2
737,1,59
737,2,37
737,3,37
737,4,37
737,5,37
737,6,18
737,7,1
738,1,67
738,2,67
738,3,60
738,4,60
738,5,60
738,6,60
738,7,58
738,8,54
738,9,54
739,1,52
739,2,52
739,3,52
739,4,34
739,5,24
739,6,17
739,7,17
739,8,17
739,9,17
739,10,9
740,1,21
740,2,16
740,3,11
740,4,6
741,1,41
741,2,36
741,3,36
741,4,36
741,5,30
741,6,26
741,7,26
741,8,26
741,9,19
741,10,19
742,1,46
742,2,26
742,3,16
742,4,9
743,1,48
743,2,48
743,3,43
743,4,43
743,5,34
743,6,30
743,7,30
743,8,13
743,9,11
743,10,1
744,1,42
744,2,42
744,3,24
744,4,16
744,5,15
744,6,8
745,1,15
745,2,1
746,1,34
746,2,34
746,3,31
746,4,31
746,5,31
746,6,31
746,7,22
746,8,4
747,1,23
747,2,20
747,3,20
747,4,20
747,5,5
748,1,60
748,2,60
748,3,58
748,4,53
748,5,53
748,6,44
748,7,43
748,8,43
748,9,37
748,10,17
748,11,17
749,1,47
749,2,43
749,3,23
749,4,23
750,1,35
750,2,35
750,3,32
750,4,29
750,5,29
750,6,21
750,7,8
751,1,38
751,2,38
751,3,37
751,4,28
751,5,17
751,6,4
752,1,38
752,2,38
752,3,31
752,4,30
752,5,14
752,6,14
752,7,8
753,1,45
753,2,30
753,3,21
753,4,13
753,5,13
753,6,0
754,1,27
754,2,24
754,3,13
754,4,11
754,5,7
755,1,10
756,1,54
756,2,54
756,3,54
756,4,52
756,5,52
756,6,52
756,7,52
756,8,26
756,9,26
757,1,34
757,2,25
757,3,25
758,1,18
758,2,13
758,3,10
759,1,76
759,2,68
759,3,68
760,1,45
760,2,43
760,3,40
760,4,40
760,5,26
760,6,26
760,7,26
761,1,24
761,2,15
761,3,15
761,4,12
761,5,12
762,1,23
762,2,9
763,1,32
763,2,32
763,3,20
763,4,7
764,1,38
764,2,30
764,3,29
764,4,29
764,5,23
764,6,6
765,1,28
765,2,23
765,3,23
765,4,19
765,5,19
765,6,19
765,7,3
766,1,65
766,2,62
766,3,56
766,4,41
766,5,41
766,6,34
766,7,34
766,8,34
767,1,15
767,2,10
768,1,52
768,2,52
768,3,52
768,4,49
768,5,45
768,6,40
768,7,22
768,8,22
769,1,29
769,2,29
769,3,20
769,4,14
769,5,14
769,6,8
770,1,64
770,2,34
770,3,23
770,4,23
770,5,20
770,6,5
771,1,38
771,2,30
771,3,22
771,4,22
771,5,22
772,1,45
772,2,25
772,3,25
772,4,25
772,5,24
772,6,24
772,7,1
773,1,54
773,2,53
773,3,50
773,4,47
773,5,44
773,6,44
773,7,41
773,8,41
773,9,22
773,10,22
773,11,22
774,1,43
774,2,16
774,3,16
774,4,11
774,5,12
774,6,7
775,1,34
775,2,14
775,3,14
775,4,14
775,5,9
776,1,29
776,2,28
776,3,7
777,1,39
777,2,36
777,3,36
777,4,36
777,5,16
777,6,16
777,7,16
777,8,12
777,9,8
778,1,33
778,2,26
778,3,17
778,4,14
778,5,14
778,6,14
778,7,14
778,8,14
778,9,9
779,1,63
779,2,34
779,3,29
779,4,22
779,5,22
779,6,22
779,7,16
779,8,16
779,9,16
779,10,8
780,1,46
780,2,43
780,3,43
780,4,17
780,5,17
780,6,4
781,1,64
781,2,34
781,3,34
781,4,8
782,1,40
782,2,40
782,3,40
782,4,40
782,5,40
782,6,33
782,7,33
782,8,28
782,9,28
783,1,18
783,2,18
783,3,15
783,4,10
784,1,61
784,2,31
784,3,27
784,4,20
784,5,18
784,6,7
785,1,43
785,2,36
785,3,29
785,4,29
785,5,29
785,6,28
785,7,28
785,8,28
786,1,49
786,2,41
786,3,19
786,4,13
786,5,13
786,6,13
786,7,13
786,8,13
786,9,13
786,10,13
786,11,13
786,12,13
786,13,13
786,14,13
786,15,13
786,16,13
787,1,61
787,2,36
787,3,31
787,4,10
788,1,47
788,2,47
788,3,47
788,4,45
788,5,45
788,6,38
788,7,38
789,1,48
789,2,43
789,3,33
789,4,19
789,5,19
789,6,10
790,1,49
790,2,44
790,3,44
790,4,44
790,5,44
790,6,28
790,7,28
790,8,23
790,9,19
790,10,19
790,11,19
790,12,19
791,1,60
791,2,60
791,3,54
791,4,50
791,5,28
791,6,28
791,7,22
791,8,15
791,9,15
791,10,2
792,1,62
792,2,57
792,3,54
792,4,35
792,5,12
792,6,12
792,7,6
793,1,44
793,2,43
793,3,40
793,4,40
793,5,20
793,6,6
794,1,68
794,2,68
794,3,67
794,4,61
794,5,56
794,6,42
794,7,42
795,1,48
795,2,41
795,3,35
795,4,35
796,1,33
796,2,33
796,3,23
796,4,20
796,5,5
797,1,36
797,2,30
797,3,24
797,4,24
797,5,23
797,6,9
798,1,46
798,2,22
798,3,20
798,4,12
798,5,2
799,1,57
799,2,42
799,3,34
799,4,10
800,1,54
800,2,51
800,3,51
800,4,28
800,5,24
800,6,23
800,7,23
801,1,17
801,2,12
801,3,12
802,1,43
802,2,43
802,3,39
802,4,15
802,5,9
803,1,53
803,2,44
803,3,44
803,4,44
803,5,28
803,6,28
803,7,17
803,8,17
803,9,14
803,10,1
804,1,61
804,2,54
804,3,54
804,4,54
804,5,28
804,6,10
805,1,60
805,2,60
805,3,60
805,4,60
806,1,43
806,2,43
806,3,20
806,4,13
806,5,7
807,1,52
807,2,52
807,3,49
807,4,41
807,5,18
807,6,18
807,7,18
807,8,11
807,9,11
808,1,22
808,2,22
808,3,23
808,4,3
809,1,47
809,2,41
809,3,39
809,4,39
809,5,24
809,6,24
809,7,20
809,8,20
810,1,48
810,2,44
810,3,36
810,4,16
810,5,9
811,1,41
811,2,41
811,3,39
811,4,38
811,5,12
811,6,6
812,1,40
812,2,37
812,3,30
812,4,30
812,5,12
812,6,7
813,1,43
813,2,43
813,3,37
813,4,11
813,5,7
814,1,52
814,2,50
814,3,28
814,4,28
814,5,11
814,6,6
815,1,36
815,2,34
815,3,34
815,4,13
815,5,13
815,6,13
816,1,32
816,2,32
816,3,8
817,1,72
817,2,71
817,3,64
817,4,56
817,5,50
817,6,50
818,1,49
818,2,49
818,3,44
818,4,44
819,1,41
819,2,34
819,3,34
819,4,33
819,5,33
819,6,33
819,7,21
819,8,14
819,9,14
819,10,11
819,11,11
819,12,11
820,1,48
820,2,48
821,1,44
821,2,35
821,3,35
821,4,33
821,5,9
822,1,78
822,2,56
822,3,26
822,4,25
822,5,1
823,1,55
823,2,45
823,3,17
823,4,15
823,5,7
824,1,70
824,2,40
824,3,40
824,4,40
824,5,30
824,6,24
824,7,24
824,8,7
825,1,35
825,2,28
825,3,26
825,4,26
825,5,22
825,6,22
825,7,12
825,8,12
825,9,12
825,10,12
826,1,62
826,2,55
826,3,47
826,4,46
826,5,46
826,6,20
826,7,20
826,8,8
827,1,66
827,2,40
827,3,30
827,4,10
828,1,52
828,2,52
828,3,52
828,4,45
828,5,32
828,6,31
828,7,31
828,8,31
829,1,61
829,2,53
829,3,34
829,4,34
829,5,9
830,1,42
830,2,36
830,3,33
830,4,33
830,5,26
830,6,22
830,7,22
831,1,72
831,2,52
831,3,44
831,4,44
831,5,44
831,6,36
831,7,29
831,8,29
831,9,29
832,1,51
832,2,51
832,3,45
832,4,39
832,5,39
832,6,30
832,7,14
832,8,13
832,9,10
833,1,41
833,2,37
833,3,27
833,4,22
833,5,22
834,1,32
834,2,30
834,3,22
834,4,22
834,5,17
834,6,17
834,7,17
834,8,10
835,1,43
835,2,36
835,3,15
835,4,10
836,1,52
836,2,23
836,3,22
836,4,21
836,5,21
836,6,20
836,7,15
836,8,15
837,1,43
837,2,40
837,3,24
837,4,24
837,5,4
838,1,48
838,2,43
838,3,17
838,4,12
838,5,10
839,1,34
839,2,19
839,3,2
840,1,65
840,2,60
840,3,60
841,1,30
841,2,30
841,3,26
841,4,26
841,5,26
841,6,23
841,7,23
841,8,23
842,1,37
842,2,37
843,1,64
843,2,63
843,3,55
843,4,29
843,5,25
843,6,19
843,7,19
843,8,7
844,1,62
844,2,62
844,3,35
844,4,25
844,5,20
844,6,20
844,7,14
844,8,14
844,9,14
845,1,32
845,2,24
845,3,21
845,4,17
845,5,17
846,1,42
846,2,37
846,3,37
847,1,39
847,2,37
847,3,37
847,4,19
847,5,13
847,6,1
848,1,40
848,2,33
848,3,28
848,4,28
848,5,11
848,6,7
849,1,44
849,2,16
849,3,16
849,4,14
849,5,8
850,1,51
850,2,51
850,3,51
850,4,42
850,5,42
851,1,17
851,2,13
851,3,10
852,1,70
852,2,70
852,3,35
852,4,35
852,5,34
852,6,34
852,7,34
852,8,30
852,9,14
852,10,14
852,11,9
853,1,28
853,2,27
853,3,27
853,4,24
853,5,23
853,6,23
853,7,23
853,8,8
854,1,55
854,2,45
854,3,45
855,1,42
855,2,34
855,3,26
855,4,26
855,5,18
855,6,18
855,7,18
855,8,18
855,9,18
855,10,8
856,1,56
856,2,56
856,3,56
856,4,55
856,5,54
856,6,54
856,7,54
856,8,42
856,9,39
856,10,39
856,11,39
857,1,55
857,2,43
857,3,42
857,4,42
857,5,37
857,6,32
857,7,32
858,1,57
858,2,56
858,3,52
858,4,27
858,5,24
858,6,16
858,7,16
859,1,52
859,2,52
859,3,29
859,4,25
859,5,24
859,6,14
859,7,14
859,8,11
859,9,11
859,10,11
859,11,11
859,12,11
859,13,11
860,1,36
860,2,29
860,3,29
861,1,46
861,2,16
861,3,16
861,4,16
861,5,16
861,6,16
862,1,40
862,2,34
862,3,25
862,4,25
862,5,22
862,6,22
862,7,9
863,1,43
863,2,43
863,3,13
863,4,13
863,5,13
863,6,13
864,1,29
864,2,26
864,3,22
864,4,22
864,5,20
864,6,20
864,7,20
864,8,20
864,9,15
864,10,15
864,11,15
865,1,17
865,2,14
865,3,14
865,4,12
865,5,9
866,1,49
866,2,48
866,3,45
866,4,37
866,5,24
866,6,24
866,7,4
867,1,12
867,2,11
867,3,11
867,4,7
868,1,43
868,2,43
868,3,41
868,4,41
868,5,40
868,6,38
868,7,33
868,8,28
868,9,22
868,10,22
868,11,22
868,12,22
868,13,18
868,14,7
869,1,38
869,2,37
869,3,30
869,4,17
869,5,11
869,6,6
870,1,36
870,2,29
870,3,26
870,4,24
870,5,24
870,6,8
871,1,53
871,2,51
871,3,50
871,4,50
871,5,46
871,6,46
871,7,41
871,8,41
871,9,41
871,10,41
872,1,45
872,2,45
872,3,41
872,4,41
872,5,40
872,6,14
872,7,14
873,1,69
873,2,65
873,3,65
873,4,42
873,5,42
873,6,42
873,7,32
873,8,31
873,9,27
873,10,27
873,11,22
873,12,11
873,13,11
874,1,29
874,2,26
874,3,26
874,4,21
874,5,21
875,1,57
875,2,48
875,3,45
875,4,38
875,5,27
875,6,27
875,7,27
875,8,22
875,9,21
875,10,21
876,1,48
876,2,45
876,3,23
876,4,23
876,5,16
876,6,9
877,1,44
877,2,39
877,3,39
877,4,32
877,5,16
877,6,10
878,1,60
878,2,31
878,3,27
878,4,27
878,5,27
878,6,25
878,7,25
878,8,23
878,9,23
878,10,23
879,1,72
879,2,72
879,3,44
879,4,35
879,5,28
879,6,28
880,1,47
880,2,45
880,3,45
880,4,23
880,5,23
880,6,9
881,1,30
881,2,30
881,3,28
881,4,24
881,5,19
881,6,19
882,1,23
882,2,21
882,3,21
882,4,13
882,5,13
882,6,13
883,1,28
883,2,28
883,3,28
883,4,19
883,5,19
883,6,11
883,7,5
884,1,47
884,2,45
884,3,45
884,4,45
884,5,41
884,6,19
884,7,19
884,8,19
884,9,19
885,1,45
885,2,36
885,3,36
885,4,32
885,5,32
885,6,22
885,7,22
885,8,4
886,1,77
886,2,74
886,3,74
886,4,47
886,5,24
886,6,17
886,7,17
886,8,11
886,9,10
887,1,20
887,2,10
888,1,44
888,2,14
888,3,14
888,4,14
888,5,6
889,1,41
889,2,33
889,3,32
889,4,32
889,5,32
889,6,32
889,7,17
889,8,17
889,9,17
890,1,40
890,2,40
890,3,37
890,4,37
890,5,27
890,6,10
891,1,57
891,2,29
891,3,29
891,4,22
891,5,22
892,1,60
892,2,55
892,3,55
893,1,33
893,2,5
894,1,55
894,2,37
894,3,35
894,4,10
895,1,60
895,2,51
895,3,51
895,4,46
895,5,32
895,6,11
895,7,6
896,1,34
896,2,34
896,3,25
896,4,20
896,5,20
896,6,20
896,7,20
897,1,16
897,2,12
897,3,12
897,4,12
897,5,8
898,1,62
898,2,53
898,3,53
898,4,23
898,5,19
898,6,14
898,7,14
898,8,14
898,9,12
898,10,8
899,1,54
899,2,26
899,3,26
900,1,73
900,2,73
900,3,65
900,4,62
900,5,55
900,6,47
900,7,44
900,8,39
900,9,28
900,10,28
900,11,28
901,1,57
901,2,55
901,3,54
901,4,46
901,5,37
901,6,15
901,7,1
902,1,59
902,2,59
902,3,59
902,4,59
902,5,50
902,6,45
902,7,45
902,8,22
902,9,22
902,10,22
902,11,22
902,12,4
903,1,57
903,2,57
903,3,51
903,4,51
904,1,58
904,2,49
904,3,37
904,4,36
904,5,36
905,1,54
905,2,52
905,3,51
905,4,45
905,5,28
905,6,28
905,7,28
905,8,25
905,9,25
905,10,18
905,11,18
905,12,5
906,1,38
906,2,17
906,3,16
906,4,16
906,5,14
906,6,14
906,7,15
906,8,14
906,9,14
907,1,68
907,2,64
907,3,59
907,4,53
907,5,53
907,6,50
907,7,50
907,8,50
907,9,50
907,10,46
